QUESTION,TYPE,DEFAULT,CHAPTER_PARAGRAPH
'Grundsätzliche Informationen','HEADER','Hier werden die allgemeinen Informationen erfasst.',''
'Anbieterinformationen','SUBHEADER','Alle Informationen zum Cloud-Anbieter.',''
'Name des Auftragsverarbeiters?','TEXT','Google LLC','["2.2"]'
'Sozialdaten','HEADER','Alle Informationen zu den zu verarbeitenden Sozialdaten.',''
'Details zu den Sozialdaten','SUBHEADER','Bitte geben Sie hier die Details zu den Sozialdaten an.',''
'Sollen Sozialdaten verarbeitet werden?','BOOL','True','["2.1"]'
'Sollen diese persistent gespeichert werden?','BOOL','False','["2.1"]'
'Welche Art von Sozialdaten?','TEXT','Versichertendaten','["2.1"]'
'Welcher Kreis von betroffenen Personen?','TEXT','Versicherte','["2.1"]'
'Welcher Zweck und welche konkrete Aufgabe der Datenverarbeitung besteht?','TEXT','Die Versichertendaten werden zur weiteren Bearbeitung temporär in der Cloud gespeichert.','["2.1"]'
'Auftragsverhältnisse','HEADER','Alle Informationen zu den Auftragsverhältnissen.',''
'Unterauftrags-Verhältnisse','SUBHEADER','Bitte geben Sie hier die Details zu den Unterauftrags-Verhältnissen an.',''
'Bestehen Unterauftrags-Verhältnisse?','BOOL','False','["2.2"]'
'Verarbeitung','HEADER','Alle Informationen zur Verarbeitung.',''
'Intranet','SUBHEADER','Datenverarbeitung im Intranet.',''
'Sind die Daten oder Dienste über das Intranet erreichbar?','BOOL','True','["2.4.1"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'Internet','SUBHEADER','Datenverarbeitung im Internet.',''
'Sind die Daten oder Dienste über das Internet erreichbar?','BOOL','True','["2.4.1"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'Anbieterzugang','SUBHEADER','Alle Informationen zum Anbieterzugang.',''
'Muss beim Anbieter ein Zugang beantragt werden?','BOOL','False','["4.3.4"]'
'Webzugang','SUBHEADER','Alle Informationen zum Webzugang.',''
'Sind die Daten oder Dienste mit einem Webbrowser erreichbar?','BOOL','True','["2.4.5"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'App-Zugang','SUBHEADER','Alle Informationen zum App-Zugang.',''
'Sind die Daten oder Dienste mit einer App für Smartphones, Tablets oder PCs / Mac erreichbar?','BOOL','True','["2.4.5"]'
'Ist diese Lösung von BITMARK bereitgestellt?','BOOL','False','["3.4.3"]'
'Handelt es sich um einen Speicherplatz für Daten, der bereitgestellt wird?','BOOL','True','["3.4.4"]'
'KI-Tools und -Services','SUBHEADER','Alle Informationen zu KI-Tools und -Services.',''
'Werden KI-Tools oder -Services verwendet?','BOOL','True','["3.4.4"]'
'Risiko- und Compliance-Bewertung','SUBHEADER','Alle Informationen zur Risiko- und Compliance-Bewertung.',''
'Werden Services zur Risiko- und Compliance-Bewertung eingesetzt?','BOOL','True','["4"]'
'Herausgabe der Daten an US-Behörden','SUBHEADER','Alle Informationen zur Herausgabe der Daten an US-Behörden.',''
'Kann der Anbieter Daten unverschlüsselt an US-amrikanische Behörden übergeben?','BOOL','False','["2.4.5"]'
'Datenverarbeitung in der EU','SUBHEADER','Alle Informationen zur Datenverarbeitung in der EU.',''
'Werden alle Cloud-Dienste speziell für die Einhaltung von § 80 Abs. 2 SGB X konfiguriert, um eine Datenverarbeitung innerhalb der EU sicherzustellen?','BOOL','True','["2.4.4"]'
'Machine Learning','SUBHEADER','Alle Informationen zu Machine Learning.',''
'Werden ML-Modelle zur Datenanalyse eingesetzt?','BOOL','True','["3.4.4"]'
'Wird sichergestellt, dass ML-Modelle in Infrastruktur, Tools und Workflows ausschließlich in der EU gehostet und genutzt werden?','BOOL','True','["3.4.4"]'
'Unterstützt der Anbieter die Erstellung von sicheren und konformen Machine Learning (ML)-Modellen im Sozial- und Gesundheitswesen?','BOOL','True','["3.4.4"]'
'Landing Zone','SUBHEADER','Alle Informationen zur Landing Zone.',''
'Ist das Landing Zone Konzept Bestandteil der Cloud-Architektur?','BOOL','True','["4.3"]'
'Folgt die Architektur dem Google Cloud Architecture Framework?','BOOL','True','["4.3"]'
'Wie wurde die Landing Zone aufgebaut?','TEXT','Im Design der Landing Zone werden die Elemente wie Netzwerke, Identitäts- und Zugriffsmanagement, Sicherheitsrichtlinien und Überwachungsdienste integriert. Für die Implementierung werden vordefinierte Lösungen genutzt werden, die den Einstieg erleichtern und Best Practices der Branche widerspiegeln.','["3.4.4","4.1"]'
'Wurde dafür ein Tool genutzt?','BOOL','True','["3.4.4"]'
'Wie werden Identitäten und Zugriffsrechte innerhalb der Landing Zone verwaltet?','TEXT','Innerhalb der Landing Zone werden Identitäten und Zugriffsrechte durch ein zentrales Identitäts- und Zugriffsmanagementsystem verwaltet, das auf Identity and Access Management IAM) basiert.','["4.2","4.2.1","4.2.2"]'
'Werden Maßnahmen zur Netzwerksicherheit in der Architektur der Landing Zone umgesetzt?','BOOL','True','["4.5"]'
'Rechtliche Anforderungen','SUBHEADER','Alle Informationen zu den rechtlichen Anforderungen.',''
'Welche Maßnahmen ergreift Google Cloud, um sicherzustellen, dass die Datenverarbeitung und -speicherung den rechtlichen Anforderungen entspricht, auch im Hinblick auf US-amerikanische Auskunftsrechte?','TEXT','Maßnahmen zur Datenhoheit und Standortwahl. Die Daten werden verschlüsselungstechnisch geschützt. Verträge und Zertifizierungen Compliance-Zertifizierungen). Transparenzberichte und Kundenbenachrichtigungen. Die Sicherheitspraktiken und Compliance wird regelmäßig von unabhängigen Dritten überprüft. Datenschutz- und Sicherheitszentrum.','["2.4.5"]'
'Wie adressiert Google Cloud die Anforderungen an die Datenverarbeitung von SaaS-Diensten in Drittländern, insbesondere in Bezug auf das Schrems-II-Urteil und § 80 Abs. 2 SGB X?','TEXT','Durch gezielte Datenlokalisierung und Regionenauswahl. Mit Standardvertragsklauseln sowie zusätzliche Sicherheitsmaßnahmen. Dazu kommen Datenschutzbewertungen und Risikomanagement. Außerdem mittels Transparenz und Verantwortlichkeitsmanagement.','["2.4.4"]'
'Wie können GKV-Träger sicherstellen, dass die Nutzung von Google Cloud-SaaS-Diensten die Datenverarbeitung auf die EU beschränkt, in Übereinstimmung mit § 80 Abs. 2 SGB X?','TEXT','Durch die Datenlokalisierung und Regionenauswahl. Vertragsvereinbarungen mit dem Anbieter. Einsatz von Verschlüsselung. Zugriffs- und Sicherheitskontrollen. Regelmäßige Überprüfung und Audits. Verpflichtung zur Benachrichtigung.','["2.4.4"]'
'Wie wird die Übermittlung von Daten in Drittländer gehandhabt, insbesondere im Hinblick auf das Schrems-II-Urteil?','TEXT','Standardvertragsklauseln SCCs). Zusätzliche technische, organisatorische und vertragliche Schutzmaßnahmen. Datenlokalisierung Speicherung und Verarbeitung der Daten ausschließlich innerhalb der EU). Individuelle Risikobewertung für jede Datenübermittlung in ein Drittland durchführen. Klare Klauseln enthalten, die die Datenverarbeitung regeln.','["2.4.4"]'
'Wie schützt Google Cloud Kundendaten vor Zugriffen durch US-amerikanische Behörden?','TEXT','Daten ausschließlich in der EU oder anderen Regionen. Verschlüsselung. Challenging Government Requests. Zero Trust Architecture. Transparenzberichte. Anwendung der Standardvertragsklauseln SCCs).','["2.4.5"]'
'Wie unterstützt die Google Cloud-Lösung die Einhaltung des Bundesdatenschutzgesetzes und der DSGVO?','TEXT','Datenkontrolle und -speicherung. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Souveräne Cloud-Lösungen.','["2.4.5"]'
'Wie gewährleistet Google Cloud die Einhaltung der DSGVO und des BDSG für GKV-Daten?','TEXT','Datenlokalisierung und -kontrolle. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Spezifische Compliance-Programme.','["2.4.5"]'
'Wie gewährleistet Google Cloud die Einhaltung von § 80 SGB X und DSGVO beim Umgang mit Sozialdaten?','TEXT','Datenlokalisierung und -kontrolle. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Spezifische Compliance-Programme.','["2.4.5"]'
'Compliance Anforderungen','SUBHEADER','Alle Informationen zu den Compliance Anforderungen.',''
'Wie können GKV-Träger Google-Tools nutzen, um Compliance-Anforderungen zu überwachen und zu erfüllen?','TEXT','Google Cloud Compliance Manager. Verschlüsselung und Schlüsselverwaltung. Audit-Logs und Überwachung. Datenschutz-Folgenabschätzung DPIA). Vertragliche Verpflichtungen und Zertifizierungen.','["2.4.5"]'
'Backup-Strategien','SUBHEADER','Alle Informationen zu den Backup-Strategien.',''
'Welche Google-Dienste nutzt die GKV im Bereich Hochverfügbarkeit?','TEXT','Google Kubernetes Engine GKE. Compute Engine. Cloud Storage. Cloud Load Balancing. Cloud SQL und Cloud Spanner.','["4.5"]'
'Welche Google-Dienste nutzt die GKV im Bereich Disaster Recovery?','TEXT','Google Cloud Storage. Google Cloud Backup and DR. Google Cloud Spanner. Google Kubernetes Engine GKE). Cloud Load Balancing','["4.5"]'
'Cloud Agnostik','SUBHEADER','Alle Informationen zur Cloud Agnostik.',''
'Welche Mechanismen bietet der Anbieter hinsichtlich eines Umzugs in eine andere Cloud (Cloud-Switching)?','TEXT','Interoperabilität und offene Standards. Multi-Cloud-Management-Tools. Datenmigrationstools. Containerisierung. Vertragliche Flexibilität.','["3.4.1","3.4.2","3.4.3","3.4.4"]'
'Faire Datennutzung','SUBHEADER','Alle Informationen zur fairen Datennutzung.',''
'Gibt es bereits Mechanismen zur Gewährleistung von European Data Act?','BOOL','True','["2.4.4"]'
'Wie nutzt die GKV Google-Dienste, um eine feingranulare Zugriffssteuerung und Governance zu implementieren?','TEXT','Identity and Access Management IAM. VPC Service Controls. Cloud Audit Logs. Access Transparency. Policy Intelligence.','["4.2","4.3","4.3.1","4.3.2","4.3.3","4.3.4"]'
'IT-Sicherheit','SUBHEADER','Alle Informationen zur IT-Sicherheit.',''
'Sicherheit','DESC','Hier werden alle Informationen zur Sicherheit erfasst.',''
'Welche Maßnahmen ergreift Google Cloud zum Schutz vor internen und externen Angriffen?','TEXT','Zugriffskontrolle und Authentifizierung. Verschlüsselung. Überwachung und Auditierung. Netzwerksicherheit. Schulung und Sensibilisierung. Zero-Trust-Architektur.','["4.4","4.5","4.5.6","4.5.7","4.6"]'
'Wie können GKV-Träger die Anforderungen an die physische Sicherheit und den Zugangsschutz in Rechenzentren überprüfen?','TEXT','Zertifizierungen und Audits. Physische Sicherheitskontrollen. Zugangsprotokolle und Überwachung. Regelmäßige Audits und Inspektionen. Zusammenarbeit mit dem Rechenzentrumsanbieter.','["4.5.1","4.5.2","4.5.3","4.5.4","4.5.5"]'
'Wie plant ihre Organisation, dies zu tun?','TEXT','Zertifizierungen und Audits. Physische Sicherheitskontrollen. Zugangsprotokolle und Überwachung. Regelmäßige Audits und Inspektionen. Zusammenarbeit mit dem Rechenzentrumsanbieter.','["4.5.1","4.5.2","4.5.3","4.5.4","4.5.5"]'
'Ist für die Google Cloud-Lösung ein C5-Testat ausgestellt?','BOOL','True','["5.1"]'
'Werden besonders schützenswerte Daten verarbeitet?','BOOL','True','["2.4.1"]'
'Werden die Daten auf die Eingabe, Veränderung und Löschung protokolliert?','TEXT','Diese Protokollierung erfolgt in sogenannten Audit-Logs und Zugriffprotokollen, die aufzeichnen, wer wann welche Änderungen an den Daten vorgenommen hat.','["4.6"]'
'Ausstieg','DESC','Hier werden alle Informationen zum Ausstieg erfasst.',''
'Welche Maßnahmen ergreift Google Cloud bei Beendigung des Vertragsverhältnisses in Bezug auf die Portabilität?','TEXT','Datenexport mitels APIs zur Verfügung. Datenzugriff für einen begrenzten Zeitraum nach Vertragsbeendigung. Datenlöschung nach der Beendigung des Vertrags. Unterstützung bei der Migration.','["3.5"]'
'Wie sehen die Ausstiegsszenarien aus?','TEXT','Datenmigration, Datenexport und Datenlöschung','["3.5"]'
'Welche Maßnahmen ergreift Google Cloud bei Beendigung des Vertragsverhältnisses in Bezug auf die Datenlöschung?','TEXT','Datenlöschungsprozess, Zertifizierung und Nachweis Löschbestätigung und Audit-Logs.','["3.5"]'
'Verschlüsselung','DESC','Hier werden alle Informationen zur Verschlüsselung erfasst.',''
'Welche Maßnahmen trifft Google Cloud, um Daten vor unbefugtem Zugriff durch Dritte, einschließlich Google Cloud selbst, zu schützen?','TEXT','Zugriffskontrolle und Authentifizierung. Verschlüsselung. Überwachung und Auditierung. Netzwerksicherheit. Zero-Trust-Architektur. Schulung und Sensibilisierung.','["4.4","4.5","4.5.6","4.5.7","4.6"]'
'Wie unterstützt Google Cloud die Verschlüsselung von Daten at-rest?','TEXT','Daten werden im Ruhezustand standardmäßig mit AES-256 verschlüsselt. Daten werden während der Übertragung zwischen den Systemen verschlüsselt mittels TLS Transport Layer Security). Mit Confidential Computing und Confidential VMs bleiben Daten auch während der Verarbeitung verschlüsselt.','["4.4.1"]'
'Wie unterstützt Google Cloud die Verschlüsselung von Daten in-transit?','TEXT','TLS Transport Layer Security). IPSec-Tunnel. Managed SSL-Zertifikate. Verschlüsselung von VM-zu-VM-Datenverkehr.','["4.4.4","4.4.5"]'
'Verschlüsselungs-Dienst','SELECT','[2, "AWS Nitro", "Azure Managed HSM", "Google Cloud KMS"]','["4.4","4.4.1","4.4.2",,"4.4.3","4.4.4"]'
'Welche Mechanismen stellt die Google Cloud-Lösung zur Verschlüsselung von Patientendaten zur Verfügung? Wie werden Schlüssel gemanaged?','TEXT','Verschlüsselung at-rest. Verschlüsselung in-transit. Verschlüsselung in-use. KMS Schlüsselmanagement','["4.4","4.4.1","4.4.2","4.4.3"]'
